province,ward,code,type,lat,lon,population,area_km2,nearest_highway_type,distance_to_road_km,snapped_lat,snapped_lon
Đồng Nai,xã Trị An,26170.0,xã,11.2169,107.041,51028.0,660.5,secondary,2.6048,11.2006304,107.0579106
Đồng Nai,xã Bình Minh,26278.0,xã,10.9689,106.97,83354.0,36.7,unclassified,0.1975,10.970556,106.9693494
Đồng Nai,xã Phước Thái,26422.0,xã,10.6861,107.068,55914.0,85.9,residential,0.3055,10.6862108,107.0707503
Đồng Nai,xã An Phước,26383.0,xã,10.8061,106.927,23788.0,64.9,residential,0.0216,10.8061862,106.9268256
Đồng Nai,phường Tân Triều,26188.0,phường,11.1964,106.82,101608.0,63.3,unclassified,0.8372,11.2008341,106.8138987
Đồng Nai,xã Đại Phước,26491.0,xã,10.712,106.779,55364.0,98.0,residential,0.6711,10.7180234,106.7795192
Đồng Nai,xã Phú Lâm,26158.0,xã,11.3073,107.502,33186.0,43.07,residential,0.0835,11.3069158,107.5013537
Đồng Nai,xã Đak Lua,26119.0,xã,11.4637,107.32,,415.6,tertiary,6.74,11.5151281,107.3522823
Đồng Nai,xã Tân Phú,26116.0,xã,11.275,107.441,3136.0,38.6,residential,0.0327,11.2750044,107.441295
Đồng Nai,xã Nam Cát Tiên,26122.0,xã,11.3837,107.463,15922.0,82.9,unclassified,0.5014,11.3792137,107.4635236
Đồng Nai,xã Long Thành,26368.0,xã,10.7824,107.016,15429.0,51.51,residential,0.17,10.7830847,107.0173703
Đồng Nai,xã An Viễn,26296.0,xã,10.901,107.015,2415.0,47.7,residential,0.3284,10.9037809,107.0160087
Đồng Nai,xã Xuân Bắc,26428.0,xã,11.0404,107.301,44866.0,96.4,residential,0.0154,11.0402668,107.3010394
Đồng Nai,xã Tà Lài,26134.0,xã,11.3537,107.391,34158.0,83.3,residential,0.2318,11.3516212,107.3907975
Đồng Nai,xã Xuân Hòa,26446.0,xã,10.8661,107.493,78491.0,306.0,residential,0.0674,10.8658631,107.4924408
Đồng Nai,xã Bình An,26389.0,xã,10.8505,107.014,59475.0,73.43,unclassified,0.9431,10.8420099,107.0136648
Đồng Nai,xã Phú Lý,26173.0,xã,11.404,107.146,15992.0,279.0,tertiary,3.4996,11.4126077,107.1156697
Đồng Nai,xã Xuân Thành,26434.0,xã,11.1997,107.392,22007.0,122.7,unclassified,0.2506,11.1994509,107.3942435
Đồng Nai,xã Tân An,26179.0,xã,11.0352,106.973,41922.0,40.61,residential,0.3306,11.0322228,106.9729251
Đồng Nai,xã Xuân Lộc,26425.0,xã,10.9379,107.387,104304.0,140.5,residential,0.8117,10.9350861,107.39375
Đồng Nai,xã Xuân Phú,26458.0,xã,10.8865,107.345,29608.0,55.6,residential,0.7802,10.8811423,107.3495492
Tây Ninh,xã Bến Lức,27991.0,xã,10.6618,106.483,569.0,48.75,residential,0.097,10.6616387,106.4821412
Tây Ninh,phường Long An,27694.0,phường,10.5476,106.405,106667.0,34.9,residential,0.0353,10.5474646,106.4047118
Tây Ninh,xã Lương Hòa,28003.0,xã,10.7083,106.45,2594.0,37.48,residential,0.2421,10.7077476,106.4478904
Tây Ninh,xã Mỹ Yên,28018.0,xã,10.6387,106.533,49248.0,29.23,residential,0.0457,10.6383567,106.5327729
Tây Ninh,xã Bình Đức,28015.0,xã,10.622,106.456,3511.0,51.2,trunk,0.1165,10.621383,106.456849
Tây Ninh,phường Khánh Hậu,27715.0,phường,10.5377,106.36,28965.0,22.81,primary,0.0123,10.5376116,106.3600666
Tây Ninh,xã Bình Hiệp,27793.0,xã,10.8318,105.958,2142.0,123.68,residential,0.4592,10.8324769,105.9539186
Tây Ninh,xã Cần Đước,28108.0,xã,10.4898,106.593,50473.0,48.56,residential,0.1169,10.4899686,106.5940392
Tây Ninh,xã Mỹ Lộc,28177.0,xã,10.5934,106.625,40199.0,32.71,residential,0.0368,10.5936855,106.6251684
Tây Ninh,phường Tân An,27712.0,phường,10.5101,106.407,85997.0,8.06,residential,0.021,10.5099306,106.4069161
Đồng Nai,xã Xuân Định,26461.0,xã,10.8765,107.286,3687.0,52.3,residential,0.0885,10.8772894,107.2861117
Tây Ninh,xã Long Hựu,28144.0,xã,10.4786,106.691,29057.0,36.89,residential,0.0988,10.4785025,106.6918846
Tây Ninh,xã Cần Giuộc,28159.0,xã,10.6154,106.689,77704.0,60.4,residential,0.0661,10.6158989,106.6886743
Tây Ninh,xã Phước Lý,28165.0,xã,10.631,106.609,4284.0,27.37,residential,0.0051,10.6309661,106.6090305
Tây Ninh,xã Phước Vĩnh Tây,28201.0,xã,10.5587,106.666,28127.0,34.4,residential,0.1601,10.5572611,106.6659026
Tây Ninh,xã Tầm Vu,28210.0,xã,10.4743,106.48,35956.0,43.5,residential,0.0747,10.474912,106.480279
Tây Ninh,xã An Ninh,27943.0,xã,10.9815,106.313,40.0,68.81,unclassified,0.1148,10.9806282,106.3135558
Tây Ninh,xã Đức Hòa,27937.0,xã,10.7967,106.45,49864.0,63.31,residential,0.1992,10.7982974,106.4491812
Tây Ninh,xã Hậu Nghĩa,27931.0,xã,10.9372,106.399,46745.0,66.48,residential,0.0932,10.9363706,106.39913
Tây Ninh,xã Tân Tập,28207.0,xã,10.5367,106.709,44767.0,60.22,residential,0.0715,10.5372693,106.7086977
Tây Ninh,xã An Lục Long,28243.0,xã,10.4188,106.462,29485.0,33.75,residential,0.0611,10.418603,106.462514
Tây Ninh,xã Thuận Mỹ,28225.0,xã,10.4502,106.539,3933.0,53.37,residential,0.1508,10.4508181,106.5377897
Tây Ninh,xã Vĩnh Công,28222.0,xã,10.4997,106.445,22784.0,24.71,residential,0.1048,10.4998991,106.4459226
