station_name,latitude,longitude,province,source,district
"Quang Ninh Nam, Haiphong, HaI Phong, Vietnam",20.9431343,106.3343711,,tomtom_fix,
"Quang Ninh People Committee Of Uong Bi City, Haiphong, HaI Phong, Vietnam",20.953212,107.102052,,tomtom_fix,
"Quang Ninh Peoples Committee Of Mao Khe Ward, Haiphong, HaI Phong, Vietnam",20.953212,107.102052,,tomtom_fix,
"Hai Duong Co Dung Kim Thanh, Hai Duong, Hai Duong, Vietnam",20.939309,106.345852,,tomtom_fix,
"Hai Duong Gan nhiet Dien Pha Lai Chi Linh, Hai Duong, Hai Duong, Vietnam",10.779516,106.6576644,,tomtom_fix,
"Hai Duong Hoi Doanh Nghiep Kinh Mon, Hai Duong, Hai Duong, Vietnam",10.2389171,106.3768486,,tomtom_fix,
"Hai Duong TT Ke Sat Binh Giang, Hai Duong, Hai Duong, Vietnam",20.9002411,106.1433398,,tomtom_fix,
"Hai Duong TT Lai Cach Cam Giang, Hai Duong, Hai Duong, Vietnam",10.00702,105.079062,,tomtom_fix,
"Hai Duong TT Phu Thai Kim Thanh, Hai Duong, Hai Duong, Vietnam",20.9629581,106.5081853,,tomtom_fix,
"Hai Duong Tram Tan Binh TP Hai Duong, Hai Duong, Hai Duong, Vietnam",10.803596,106.477615,,tomtom_fix,
"Hai Duong Tram Y te Duy Tan Kinh Mon, Hai Duong, Hai Duong, Vietnam",21.0019603,106.54233,,tomtom_fix,
"Hai Duong UBND TP Chi Linh, Hai Duong, Hai Duong, Vietnam",21.2734411,107.2867976,,tomtom_fix,
"Hai Duong, Hai Duong, Vietnam",20.939309,106.345852,,tomtom_fix,
"Khu Tu Thong, Hai Duong, Hai Duong, Vietnam",12.3063362,109.1885428,,tomtom_fix,
"Quang Ninh Nhue Ho Dong Trieu, Hai Duong, Hai Duong, Vietnam",17.4034323,106.605772,,tomtom_fix,
"Hai Duong TT Minh Tan Kinh Mon, Haiphong, Hai Phong, Vietnam",21.0386565,106.5802676,,tomtom_fix,
"Hai Phong Phu Lien, Haiphong, Hai Phong, Vietnam",20.797349,106.6259,,tomtom_fix,
"Haiphong, Hai Phong, Vietnam",20.875173,106.474483,,tomtom_fix,
